id,slug,name,description,image,category,order,categoryOrder,isActive,configuratorEnabled,calculatorAvailable,clickCount,createdAt,updatedAt
199,bw-photocopying,"BW Photocopying","Professional black & white photocopying on 90gsm paper",,"Photocopying",0,0,true,true,true,0,"2025-09-23T00:57:01.503Z","2025-09-23T00:57:01.503Z"
200,colour-photocopying,"Colour Photocopying","Professional colour photocopying on 100gsm paper",,"Photocopying",0,0,true,true,true,0,"2025-09-23T00:57:01.507Z","2025-09-23T00:57:01.507Z"
201,drawing-printing,"Drawing Printing","Professional engineering drawings printing in A0, A1, A2 sizes, black & white and color",,"Large Format Printing",0,0,true,true,true,0,"2025-09-23T01:08:59.662Z","2025-09-23T01:08:59.662Z"
202,poster-printing,"Poster Printing","Professional poster printing in A0, A1, A2 sizes on 190gsm gloss paper",,"Large Format Printing",0,0,true,true,true,0,"2025-09-23T01:08:59.671Z","2025-09-23T01:08:59.671Z"
203,wedding-stationery,"Wedding Stationery","Professional wedding stationery including invitations, place cards, and order of service booklets",,"Events Printing",0,0,true,true,true,0,"2025-09-23T01:09:37.800Z","2025-09-23T01:09:37.800Z"
204,invitations,"Invitations","Professional invitations for birthdays, weddings, and special events",,"Events Printing",0,0,true,true,true,0,"2025-09-23T01:09:37.804Z","2025-09-23T01:09:37.804Z"
205,order-of-service,"Order of Service","Professional order of service booklets for weddings and ceremonies",,"Events Printing",0,0,true,true,true,0,"2025-09-23T01:09:37.805Z","2025-09-23T01:09:37.805Z"
206,place-cards,"Place Cards","Professional place cards for weddings and events",,"Events Printing",0,0,true,true,true,0,"2025-09-23T01:09:37.807Z","2025-09-23T01:09:37.807Z"
207,bookmarks,"Bookmarks","Professional bookmarks for events and promotions",,"Events Printing",0,0,true,true,true,0,"2025-09-23T01:09:37.808Z","2025-09-23T01:09:37.808Z"
208,greetings-cards,"Greetings Cards","Professional greeting cards in various sizes and formats for all occasions",,"Seasonal Printing",0,0,true,true,true,0,"2025-09-23T01:10:14.337Z","2025-09-23T01:10:14.337Z"
209,postcards,"Postcards","Professional postcards for travel and seasonal greetings",,"Seasonal Printing",0,0,true,true,true,0,"2025-09-23T01:10:14.341Z","2025-09-23T01:10:14.341Z"
210,calendar,"Calendar","Professional calendars in various sizes for businesses and personal use",,"Seasonal Printing",0,0,true,true,true,0,"2025-09-23T01:10:14.342Z","2025-09-23T01:10:14.342Z"
211,wrapping-paper,"Wrapping Paper","Professional wrapping paper for gifts and seasonal packaging",,"Seasonal Printing",0,0,true,false,false,0,"2025-09-23T01:10:14.343Z","2025-09-23T01:10:14.343Z"
213,laminating,"Laminating","Professional laminating services for A5 to A1 sizes",,"Laminating",0,0,true,true,true,0,"2025-09-23T01:11:02.073Z","2025-09-23T01:11:02.073Z"
214,binding,"Binding","Professional binding services for documents and booklets",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.190Z","2025-09-23T01:11:54.190Z"
215,stapling,"Stapling","Professional stapling services for documents",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.194Z","2025-09-23T01:11:54.194Z"
216,folding,"Folding","Professional folding services for documents and leaflets",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.195Z","2025-09-23T01:11:54.195Z"
217,gluing,"Gluing","Professional gluing services for documents and booklets",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.196Z","2025-09-23T01:11:54.196Z"
218,perforating,"Perforating","Professional perforating services for tear-off documents",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.198Z","2025-09-23T01:11:54.198Z"
219,hole-punching,"Hole Punching","Professional hole punching services for ring binders",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.200Z","2025-09-23T01:11:54.200Z"
220,rounding-corners,"Rounding Corners","Professional corner rounding services for cards and documents",,"Print Finishing Services",0,0,true,true,true,0,"2025-09-23T01:11:54.202Z","2025-09-23T01:11:54.202Z"
